date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:23	13683/13683	---M--	200	added ('OK')	text/html	date:Sun,%2031%20May%202020%2017:33:10%20GMT	http://theme.dsngrid.com/droow-l/project-6.html	D:/Sociomark/theme.dsngrid.com/droow-l/project-6.html	(from http://theme.dsngrid.com/droow-l/)
19:40:24	186014/186014	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2007:41:32%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project3/1.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project3/1.jpg	(from http://theme.dsngrid.com/droow-l/)
19:40:26	16022/16022	---M--	200	added ('OK')	text/html	date:Sun,%2031%20May%202020%2017:33:18%20GMT	http://theme.dsngrid.com/droow-l/project-1.html	D:/Sociomark/theme.dsngrid.com/droow-l/project-1.html	(from http://theme.dsngrid.com/droow-l/)
19:40:34	236712/236712	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2007:54:48%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project8/1.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project8/1.jpg	(from http://theme.dsngrid.com/droow-l/)
19:40:35	15642/15642	---M--	200	added ('OK')	text/html	date:Sun,%2031%20May%202020%2017:33:18%20GMT	http://theme.dsngrid.com/droow-l/project-2.html	D:/Sociomark/theme.dsngrid.com/droow-l/project-2.html	(from http://theme.dsngrid.com/droow-l/)
19:40:52	156971/156971	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202019%2007:40:28%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project1/1.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project1/1.jpg	(from http://theme.dsngrid.com/droow-l/)
19:40:52	179363/179363	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2007:53:06%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project7/1.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project7/1.jpg	(from http://theme.dsngrid.com/droow-l/)
19:41:01	230905/230905	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2007:51:24%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project6/1.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project6/1.jpg	(from http://theme.dsngrid.com/droow-l/)
19:41:04	182991/182991	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2007:39:22%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project2/1.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project2/1.jpg	(from http://theme.dsngrid.com/droow-l/)
19:41:09	101889/101889	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202019%2007:29:16%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project9/6.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project9/6.jpg	(from http://theme.dsngrid.com/droow-l/)
19:41:20	177274/177274	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2007:48:28%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project5/1.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project5/1.jpg	(from http://theme.dsngrid.com/droow-l/)
19:41:41	198921/198921	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Dec%202019%2007:55:06%20GMT	http://theme.dsngrid.com/droow-l/assets/img/project/project8/2.jpg	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/project/project8/2.jpg	(from http://theme.dsngrid.com/droow-l/)
